139: 9.14-10.13	19.8473 , -4.3768 nm	CRITICO
140: 9.14-10.14	19.4291 , -4.79499 nm	CRITICO
141: 9.15-10.14	19.4291 , -4.79499 nm	CRITICO
142: 9.15-10.15	19.193 , -5.03108 nm	CRITICO
143: 9.16-10.15	19.193 , -5.03108 nm	CRITICO
144: 9.16-10.16	18.6227 , -5.60141 nm	CRITICO
145: 9.17-10.16	18.1849 , -6.03915 nm	CRITICO
146: 9.17-10.17	18.1849 , -6.03915 nm	CRITICO
147: 9.18-10.17	18.5614 , -5.66266 nm	CRITICO
148: 9.18-10.18	18.5614 , -5.66266 nm	CRITICO
149: 9.19-10.18	19.6251 , -4.59896 nm	CRITICO
150: 9.19-10.19	18.5307 , -5.69343 nm	CRITICO
151: 9.20-10.19	17.3213 , -6.90282 nm	CRITICO
152: 9.20-10.20	17.3213 , -6.90282 nm	CRITICO
153: 9.21-10.20	18.0175 , -6.20665 nm	CRITICO
154: 9.21-10.21	18.4452 , -5.7789 nm	CRITICO
155: 9.22-10.21	19.0289 , -5.19515 nm	CRITICO
156: 9.22-10.22	18.4938 , -5.73035 nm	CRITICO
157: 9.23-10.22	18.2623 , -5.96183 nm	CRITICO
158: 9.23-10.23	18.2623 , -5.96183 nm	CRITICO
159: 9.24-10.23	19.1682 , -5.05589 nm	CRITICO
160: 9.24-10.24	19.571 , -4.65306 nm	CRITICO
161: 9.25-10.24	20.8916 , -3.33246 nm	CRITICO
162: 9.25-10.25	20.3134 , -3.91067 nm	CRITICO
163: 9.26-10.25	18.7683 , -5.45581 nm	CRITICO
164: 9.26-10.26	18.7683 , -5.45581 nm	CRITICO
165: 9.27-10.26	17.9634 , -6.26071 nm	CRITICO
166: 9.27-10.27	17.9634 , -6.26071 nm	CRITICO
167: 9.28-10.27	17.5859 , -6.63824 nm	CRITICO
168: 9.28-10.28	17.5674 , -6.65667 nm	CRITICO
169: 9.29-10.28	17.5674 , -6.65667 nm	CRITICO
170: 9.29-10.29	18.1063 , -6.11779 nm	CRITICO
171: 9.30-10.29	18.45 , -5.7741 nm	CRITICO
172: 9.30-10.30	18.0479 , -6.17618 nm	CRITICO
173: 9.30-10.31	26.1058 , 1.88168 nm
174: 9.31-10.30	18.0479 , -6.17618 nm	CRITICO
175: 9.31-10.31	12.4753 , -11.7488 nm	CRITICO
176: 10.26-11.25	23.7693 , 0.75469 nm
177: 10.26-11.26	19.1711 , -3.84346 nm	CRITICO
178: 10.27-11.26	13.631 , -9.38357 nm	CRITICO
179: 10.27-11.27	13.631 , -9.38357 nm	CRITICO
180: 10.28-11.27	19.8232 , -3.19144 nm	CRITICO
181: 10.31-11.31	23.5097 , 0.495057 nm
182: 11.28-12.28	20.4532 , -1.51104 nm	CRITICO
183: 11.29-12.28	18.7185 , -3.24566 nm	CRITICO
184: 11.29-12.29	18.7185 , -3.24566 nm	CRITICO
185: 11.30-12.29	19.1396 , -2.82465 nm	CRITICO
186: 12.4-13.5	26.6494 , 1.97283 nm
187: 12.5-13.5	26.469 , 1.79241 nm
188: 12.5-13.6	26.4623 , 1.78569 nm
189: 12.6-13.6	26.3998 , 1.72316 nm
190: 12.6-13.7	26.3998 , 1.72316 nm
191: 12.7-13.7	26.4063 , 1.72967 nm
192: 12.7-13.8	26.4063 , 1.72967 nm
193: 12.8-13.8	26.5887 , 1.91209 nm
194: 12.8-13.9	26.5887 , 1.91209 nm
195: 12.19-13.20	26.584 , 1.90739 nm
196: 12.20-13.20	26.584 , 1.90739 nm
197: 12.26-13.26	26.6403 , 1.96368 nm
198: 12.26-13.27	26.6403 , 1.96368 nm
199: 12.27-13.27	25.6784 , 1.00176 nm
200: 12.27-13.28	25.6784 , 1.00176 nm
201: 12.28-13.28	24.0511 , -0.625527 nm	CRITICO
202: 12.28-13.29	24.0511 , -0.625527 nm	CRITICO
203: 12.29-13.29	21.9315 , -2.74508 nm	CRITICO
204: 12.29-13.30	21.9315 , -2.74508 nm	CRITICO
205: 12.30-13.29	25.5757 , 0.899083 nm
206: 12.30-13.30	22.5575 , -2.11908 nm	CRITICO
207: 12.30-13.31	24.7118 , 0.0351621 nm	CRITICO
208: 13.29-14.29	23.4592 , 0.365921 nm
209: 13.29-14.30	23.4653 , 0.372001 nm
210: 13.30-14.29	23.1672 , 0.0739814 nm	CRITICO
211: 13.30-14.30	23.1672 , 0.0739814 nm	CRITICO
212: 14.10-15.9	25.4333 , 1.38035 nm
213: 14.10-15.10	25.4333 , 1.38035 nm
214: 14.16-15.16	25.9971 , 1.9442 nm
215: 14.17-15.16	14.7654 , -9.28751 nm	CRITICO
216: 14.17-15.17	14.7654 , -9.28751 nm	CRITICO
217: 14.18-15.16	22.8599 , -1.19297 nm	CRITICO
218: 14.18-15.17	21.9305 , -2.12238 nm	CRITICO
219: 14.22-15.22	22.4166 , -1.63631 nm	CRITICO
220: 14.23-15.22	14.6901 , -9.36277 nm	CRITICO
221: 14.23-15.23	14.6901 , -9.36277 nm	CRITICO
222: 14.28-15.27	18.9431 , -5.10976 nm	CRITICO
223: 14.28-15.28	18.9431 , -5.10976 nm	CRITICO
224: 14.29-15.28	19.826 , -4.2269 nm	CRITICO
225: 14.29-15.29	22.0851 , -1.96784 nm	CRITICO
226: 14.30-15.28	24.6088 , 0.555889 nm
227: 14.30-15.29	24.6088 , 0.555889 nm
228: 15.18-16.19	28.5776 , -0.691409 nm	CRITICO
229: 15.18-16.20	28.7139 , -0.555078 nm	CRITICO
230: 15.19-16.19	28.5776 , -0.691409 nm	CRITICO
231: 15.19-16.20	28.7139 , -0.555078 nm	CRITICO
232: 15.19-16.21	30.1352 , 0.866249 nm
233: 15.20-16.21	30.1352 , 0.866249 nm
234: 15.24-17.26	29.4805 , 1.56792 nm
235: 15.25-17.26	29.4805 , 1.56792 nm
236: 16.2-17.2	20.9989 , -7.70903 nm	CRITICO
237: 16.2-17.3	20.5432 , -8.16475 nm	CRITICO
238: 16.3-17.2	20.96 , -7.74791 nm	CRITICO
239: 16.3-17.3	2.55737 , -26.1506 nm	CRITICO
240: 16.3-17.4	2.29675 , -26.4112 nm	CRITICO
241: 16.4-17.3	5.12727 , -23.5807 nm	CRITICO
242: 16.4-17.4	2.29675 , -26.4112 nm	CRITICO
243: 16.4-17.5	3.45758 , -25.2504 nm	CRITICO
244: 16.5-17.4	6.21471 , -22.4932 nm	CRITICO
245: 16.5-17.5	3.57734 , -25.1306 nm	CRITICO
246: 16.5-17.6	4.94972 , -23.7582 nm	CRITICO
247: 16.6-17.5	7.35323 , -21.3547 nm	CRITICO
248: 16.6-17.6	4.94972 , -23.7582 nm	CRITICO
249: 16.6-17.7	5.02633 , -23.6816 nm	CRITICO
250: 16.7-17.6	7.63066 , -21.0773 nm	CRITICO
