205: 55.30-56.31	24.4924 , -0.471008 nm	CRITICO
206: 55.30-57.24	21.8763 , -4.95344 nm	CRITICO
207: 55.31-56.31	25.1184 , 0.154952 nm	CRITICO
208: 56.22-57.18	20.1098 , -7.03791 nm	CRITICO
209: 56.22-57.19	25.9628 , -1.18489 nm	CRITICO
210: 56.23-57.18	13.925 , -13.2227 nm	CRITICO
211: 56.23-57.19	5.29463 , -21.8531 nm	CRITICO
212: 56.24-57.19 INTERSECAO
213: 56.24-57.20	5.86011 , -21.2876 nm	CRITICO
214: 56.25-57.19	20.4863 , -6.6614 nm	CRITICO
215: 56.25-57.20	7.76352 , -19.3842 nm	CRITICO
216: 56.25-57.21	18.2642 , -8.8835 nm	CRITICO
217: 56.26-57.20	17.2757 , -9.872 nm	CRITICO
218: 56.26-57.21	18.0714 , -9.07628 nm	CRITICO
219: 56.27-57.21	22.2396 , -4.90813 nm	CRITICO
220: 56.27-57.22	23.8396 , -3.30815 nm	CRITICO
221: 56.28-57.22	23.5223 , -3.62539 nm	CRITICO
222: 56.28-57.23	21.6546 , -5.49309 nm	CRITICO
223: 56.29-57.22	27.3503 , 0.20262 nm	CRITICO
224: 56.29-57.23	14.7656 , -12.3821 nm	CRITICO
225: 56.29-57.24	16.4176 , -10.7301 nm	CRITICO
226: 56.30-57.23	14.0733 , -13.0744 nm	CRITICO
227: 56.30-57.24	1.80196 , -25.3457 nm	CRITICO
228: 56.31-57.24 INTERSECAO
229: 56.31-57.25	4.22901 , -22.9187 nm	CRITICO
230: 57.13-58.14	26.0621 , -1.46976 nm	CRITICO
231: 57.13-58.15	27.5648 , 0.0329756 nm	CRITICO
232: 57.14-58.14	25.5921 , -1.93975 nm	CRITICO
233: 57.14-58.15	19.3325 , -8.19936 nm	CRITICO
234: 57.14-58.16	19.9368 , -7.59508 nm	CRITICO
235: 57.15-58.15	19.0612 , -8.47062 nm	CRITICO
236: 57.15-58.16	17.3981 , -10.1337 nm	CRITICO
237: 57.15-58.17	17.4405 , -10.0913 nm	CRITICO
238: 57.16-58.16	17.3246 , -10.2073 nm	CRITICO
239: 57.16-58.17	17.3246 , -10.2073 nm	CRITICO
240: 57.16-58.18	19.5083 , -8.0235 nm	CRITICO
241: 57.17-58.17	19.6711 , -7.8607 nm	CRITICO
242: 57.17-58.18	19.6711 , -7.8607 nm	CRITICO
243: 57.17-58.19	25.1445 , -2.38733 nm	CRITICO
244: 57.18-58.18	25.7899 , -1.74195 nm	CRITICO
245: 57.18-58.19	25.7855 , -1.74634 nm	CRITICO
246: 57.31-58.31	25.3305 , -2.20133 nm	CRITICO
247: 60.31-61.30	23.867 , 0.69084 nm
248: 60.31-61.31	23.867 , 0.69084 nm
249: 65.27-66.31	26.8204 , 1.82495 nm
250: 65.31-67.30 INTERSECAO
251: 65.31-67.31	0.809002 , -23.5228 nm	CRITICO
252: 67.22-68.23	26.5445 , -0.14127 nm	CRITICO
253: 67.23-68.23	17.8451 , -8.84061 nm	CRITICO
254: 67.23-68.24	12.4806 , -14.2051 nm	CRITICO
255: 67.24-68.23	26.1266 , -0.559135 nm	CRITICO
256: 67.24-68.24	7.5976 , -19.0881 nm	CRITICO
257: 67.24-68.25	2.58226 , -24.1035 nm	CRITICO
258: 67.25-68.24	24.7639 , -1.92181 nm	CRITICO
259: 67.25-68.25	2.58226 , -24.1035 nm	CRITICO
